source_text,target_text
Hello,नमस्ते
Good morning,सुप्रभात
Good night,शुभ रात्रि
Thank you,धन्यवाद
Please,कृपया
Yes,हाँ
No,नहीं
How are you?,आप कैसे हैं?
I am fine,मैं ठीक हूँ
What is your name?,आपका नाम क्या है?
My name is Rahul,मेरा नाम राहुल है
Where is the bank?,बैंक कहाँ है?
I want to open an account,मैं खाता खोलना चाहता हूँ
What is the interest rate?,ब्याज दर क्या है?
Your loan is approved,आपका ऋण स्वीकृत हो गया है
Your loan is rejected,आपका ऋण अस्वीकृत हो गया है
Your EMI is due,आपकी ईएमआई देय है
Your payment is successful,आपका भुगतान सफल है
Your payment failed,आपका भुगतान असफल रहा
Please verify your KYC,कृपया अपना केवाईसी सत्यापित करें
Your account is blocked,आपका खाता अवरुद्ध है
Suspicious transaction detected,संदिग्ध लेन-देन का पता चला
Your card is declined,आपका कार्ड अस्वीकृत हो गया
Call customer support,ग्राहक सहायता से संपर्क करें
